,member_id,company_id,year_from,title,company_name
41,2031336,1890806.0,2009.0,"Co-Founder, CEO","Cardmunch, Inc. (acquired by LinkedIn)"
42,2089552,10930827.0,2017.0,Co-Founder & Chief Product Officer,Synapse Technology Corporation
43,2121693,7608939.0,2013.0,"CEO, Founder& Director at Phoinix Technologies Inc.",Phoinix Technologies Inc
44,2138027,11655738.0,2017.0,Founder and CEO,Pwr.
45,2260225,4415726.0,2006.0,Founder & CEO,Skytap
46,2394579,2781758.0,2009.0,Co-Founder/COO,"Protective Enclosures Company, LLC"
47,2464687,607358.0,2015.0,Co-Founder and Chief Technical Officer,Virta Laboratories
48,2479308,88791081.0,2020.0,Co-Founder,Ohms
49,2479604,10825396.0,2012.0,"Co-Founder, President and CEO","Metavention, Inc."
50,2484100,7357547.0,2013.0,Cofounder,REAL (Raleigh Entrepreneurial Acceleration Lab)
51,2493285,21344635.0,2019.0,CEO/Co-Founder,Humane
52,2529577,1503897.0,2009.0,VP Operations & Co-founder,CourseRank Inc.
53,2537835,155123.0,2015.0,President & Founder,BadgerLoop
54,2560077,2923066.0,2009.0,Founder & Principal,TeleOpCom
55,2580246,7767627.0,2013.0,CEO and Founder,"Pareto Biotechnologies, Inc."
56,2596489,25680051.0,2016.0,Founder & Principal Partner,Consult to Grow
57,2597503,652396.0,2010.0,"Chief Architect, GemFire Products (Co-founder of GemFire, acquired by VMWare)",VMware
58,2634529,813116.0,1998.0,"Founder, Chairman, and CEO",HealtheTech
59,2662640,1553409.0,1991.0,Founder and President,"MOTO Development Group, Inc."
60,2667113,12040772.0,2017.0,Cofounder & CEO,Bridgerock Data
61,2736478,4739944.0,2000.0,Founder & CEO,Shasta Networks
62,2739460,6037992.0,2015.0,Founder,Obamacare Bootcamp for Chiropractors
63,2754584,9129878.0,1985.0,"Founder, Chairman and CEO",Altair Engineering
64,2758862,28664670.0,2016.0,Co-Founder,AlphaThera
65,2759864,3751084.0,2011.0,Founder,Inveska Corp
66,2764843,11307766.0,2015.0,"Founder, Chief Innovation Officer","Harvest Innovation Strategies Group, INC (HISG)"
67,2774144,8579547.0,2011.0,"Founder and General Manager, Amazon Restaurants",Amazon
68,2788432,7538230.0,2013.0,Founder,PortPilot Power Technologies
69,2837755,9523859.0,2014.0,"CEO, Founder",Fluoxivid Diagnostics
70,2843157,10399794.0,2016.0,Founder & CEO,Adhark
71,2897257,2759912.0,2010.0,Founder / CDO,Thoughtful.co
72,2927671,8531178.0,2008.0,Co-Founder & CEO,"LipZipz, LLC"
73,2930091,3940992.0,2012.0,Founder and President,"Solution Deposition Systems, Inc."
74,2932748,12714171.0,2017.0,Founder & CEO,Xoca World
75,2932815,11657741.0,2015.0,Founder,Monster Makes
76,2934511,10645317.0,2015.0,Co Founder,Bondfire
77,3067896,33342473.0,2011.0,Co-Founder / Director,"Dynepic, Inc."
78,3072840,22787817.0,2018.0,Founder and Chief Architect,Kare Map
79,3083574,9307683.0,2008.0,Chief Scientist & Founder,Aquion Energy
80,3090708,24197628.0,2019.0,Founder & CEO,Beauty Backer
81,3138382,8203770.0,2006.0,Founder,"Jacogo, Inc."
82,3142102,2888230.0,1991.0,Founder & CEO,Tecore Networks
83,3151047,6594669.0,2010.0,Co-Founder/CTO,"Kick Your Apps, Inc."
84,3171313,5015585.0,1989.0,"Founder, Chairman & CEO",Masimo
85,3183312,22421739.0,2019.0,"Co-Founder, Head of Product",Venture Capital Backed Startup
86,3185321,19970544.0,2018.0,Co-Founder,Kaiya
87,3206227,1172086.0,2005.0,"Co-founder, Chief Product Officer",Pinger
88,3206994,10324838.0,1998.0,Founder - CEO,Prototype Productions Incorporated
89,3212598,27490604.0,2020.0,Principal Solution Architect and Co-Founder,ON Global
90,3220944,6324298.0,1999.0,"Principal HW Engineer, Founder",Ellacoya Networks
91,3227068,9621342.0,2016.0,"Designer, co-founder",fitbod
92,3258509,2779196.0,2009.0,Co-founder,Tough Luv Clothing
93,3319713,3901078.0,1995.0,"Co-Founder, Chief Architect, UI Designer",Swell Software
94,3331607,5417299.0,2004.0,Senior Engineer & Co-Founder,"MedShape, Inc."
95,3344557,6844375.0,2020.0,Founder,Stealth Mode Startup Company
96,3351087,3719173.0,2013.0,Co-Founder/Owner,IC Optix
97,3359991,1425001.0,2007.0,"Founder , President & Board Member","Close the Loop, Inc"
98,3363070,4906872.0,2015.0,CTO / Co-Founder,"Nixob, Inc"
99,3419422,4455871.0,2014.0,CTO and Co-founder,Spin-Darc
100,3432775,1103699.0,2010.0,Founder & CTO,"Ziptr, Inc."
101,3434806,8917272.0,2013.0,Founder,Arcanum Advisors
102,3452677,373405.0,2003.0,Founder & CEO,"Brennan Innovators, LLC"
103,3468433,33479943.0,2020.0,Founder & CEO,ZeroWall
104,3476736,1057228.0,2014.0,Founder & CEO,"HR Pharmaceuticals, Inc"
105,3488024,27565799.0,2017.0,Principal Engineer and Co-founder,Load Test Consulting
106,3551027,11565981.0,2016.0,Founder/creator,ballot.fyi
107,3560876,11060003.0,2016.0,"Founder, Technical Advisor, Board of Directors",SEEVA Technologies
108,3569834,22892329.0,2012.0,Industrial Designer/Co-Founder,Industra Design
109,3587823,88476947.0,2022.0,Cofounder / CTO,Mozart
110,3601271,9000256.0,2010.0,Co-founder & CTO,Algowiz
111,3613591,12728992.0,2012.0,Founder,Smart Game Systems
112,3617701,9254170.0,2015.0,Cofounder,Adazza
113,3618607,57060693.0,2020.0,Co-Founder and CSO,Elephas
114,3634220,32488367.0,2017.0,"Chief Information and Privacy Officer (CISO & CPO), Founder","Security Consulting N+, LLC"
115,3644923,11709903.0,2017.0,Founder,Medxoom
116,3657140,88337051.0,2022.0,"Co-Founder, manager",Trust360.co
117,3683606,6957435.0,2006.0,Co-founder and CTO,Dapper
118,3691866,32941146.0,2020.0,Co-Founder,Trendpop
119,3697089,10057201.0,2012.0,CTO/Founder TransCirrus,TransCirrus
120,3698437,11823798.0,2016.0,"Co-founder, CTO",Upside
121,3700033,295821.0,2009.0,CEO & Co-Founder,BioLite
122,3720964,6089428.0,2013.0,"Investor, Board Director, Co-Founder",OmniEarth
123,3733179,649182.0,2005.0,"Co-Founder, CEO, Chairman",Vumber.com
124,3736073,10745699.0,2008.0,Co-Founder/CEO,"Abundant Closet, LLC"
125,3796202,9857407.0,2011.0,"Co-founder, Chair, and Various Leadership Positions - CHEF",FS-ISAC
126,3803646,12516453.0,2018.0,CTO/ Founder,Dadsak
127,3804853,9434998.0,2013.0,Co-Founder / Distinguished Engineer,FSLogix
128,3806262,11877457.0,2017.0,"Co-Founder, Director Of Business Development","Orbit Fab, Inc."
129,3807509,4923069.0,2011.0,Founder and Executive Director,Neurobiology Foundation
130,3810859,23603829.0,2011.0,"Head of Product, Co-founder","Catalytic DS, Inc"
131,3818145,20609284.0,2018.0,"Chief Executive Officer, Co-Founder,",灵长科技(apemesh)
132,3840729,8982852.0,2010.0,Founder & President,Advanced Design Optimization
133,3872004,7875612.0,2005.0,Founder,Papervitamins
134,3911330,20152609.0,2013.0,Co-Founder & COO,Ma Nature's Bags
135,3965705,1320509.0,2008.0,Founder and Principal,Pretium Consulting
136,3999957,12725933.0,2002.0,Founder + President,jozeph forakis ... design
137,4105037,22898179.0,2018.0,Co-Founder & Chief Scientific Officer,Nova Mentis Pharma
138,4214026,1872480.0,2002.0,Founder & CEO,Cima NanoTech
139,4274244,287346.0,2012.0,General Manager and Founder,Bezl LLC
140,4306032,4482996.0,2007.0,"Founder, Managing Partner",ScholarNexus LLC
141,4366948,9338032.0,2010.0,Co-Founder and CMO,"FYItag, Inc."
142,4378247,9736618.0,2014.0,CEO & Co-founder,Switchboard Software
143,4379180,8598490.0,2015.0,Founder,AtSea Corp
144,4391811,31640410.0,2020.0,Co-founder & CEO,Proximo Data
145,4401356,2074002.0,2003.0,CTO/Co-Founder,"Skytide (Citrix, Nasdaq: CTXS)"
146,4407995,11909595.0,2008.0,"Chief Engineer, Co-Founder","Spartan Racing, SJSU Formula SAE"
147,4429080,10153142.0,1998.0,Co-Founder/President/COO,Terawave Communications
148,4524504,33684286.0,2018.0,Founder,Virtus Solis Technologies
149,4601153,4344181.0,2002.0,"Co-Founder, Chairman and CEO",Spoke Software
150,4605492,5641718.0,2014.0,Founder & CEO,"WannaGo, LLC."
151,4605685,13022725.0,2016.0,Founder CEO,Imaginarium of Technology
152,4630696,11097859.0,2017.0,Co-Founder,Ignite Orthopedics
153,4634776,19408236.0,2013.0,Co-founder and Coordinator,SSSR الجمعية السورية للبحث العلمي
154,4644840,12470031.0,2018.0,Co-Founder,Interstellar
155,4656403,11693567.0,2017.0,Co-Founder and VP Software / Cloud Systems,Intrepid Automation
156,4694006,3183248.0,1989.0,Founder & Chief Executive Officer,"GeoPartners Research, Inc."
157,4717268,787459.0,1980.0,Co-Founder; Manager; Sr. Consultant,Hammer and Company
158,4735494,32425798.0,2019.0,Founder,Agave Products LLC.
159,4735871,1899712.0,2010.0,Founder and Partner,CatchAll Environmental
160,4736663,4313276.0,2012.0,Founder and CEO,SpineThera
161,4808854,10895682.0,2016.0,Founder and VP of Hardware,Lightpad
162,4817033,11849862.0,2014.0,Founder,"OncoNano Medicine, Inc."
163,4823004,11051934.0,2017.0,VP Engineering and Co-founder,Xact Metal
164,4864581,3263303.0,2007.0,President / Founder,Geochord
165,4877118,11051071.0,2017.0,CEO and Founder,"Light Field Lab, Inc."
166,4881596,32067301.0,2020.0,Founder,Klobucar Engineering llc
167,4900787,2713386.0,2015.0,Cofounder,Tiny Garage Labs
168,5070133,3470830.0,2007.0,Co-founder,GoTime
169,5080833,8975398.0,2014.0,President and Cofounder,AppliedVR
170,5085975,1854784.0,2007.0,Founder and Chief Medical Officer,Compression Works Inc.
171,5092481,7264664.0,2016.0,Founder & CEO,"Rize Holdings, LLC"
172,5093874,5309204.0,1999.0,"Co-Founder, Software Architect",Model N
173,5097870,9791732.0,2006.0,Founder & CEO,"Polonye Consulting Services, LLC."
174,5100828,6740701.0,2005.0,"Co-Founder, IP Counsel","DFine, Inc."
175,5122544,28935412.0,2019.0,Co-Founder & Executive Director,The Institute for Love and Time (TILT)
176,5283988,6798861.0,2009.0,Founder and CEO,"Deviantech, Inc."
177,5506399,7054716.0,2013.0,"Founder, CEO",Diamond Charts
178,5533326,24254313.0,2019.0,Founder & CEO ,Little Wing
179,5558918,27283263.0,2019.0,Founder and Board Member,Vico Therapeutics B.V.
180,5563126,2487953.0,2015.0,Founder and CEO,Travel + Thrift
181,5567303,5327362.0,1984.0,Co-Founder and Chief Engineer,Mechtrix Corporation
182,6049785,3137075.0,2011.0,Co-Owner and Founder,QD Syringe Systems®
183,6884563,6844375.0,2019.0,Founder / Chief Scientist,Stealth Mode Startup Company
184,6982925,5647743.0,2008.0,CEO/Founder,WeVoice Inc.
185,6996335,6182817.0,2005.0,"Co-Founder and Chief Engineer, Exponent China",Exponent
186,7034074,10794112.0,2012.0,Co-Founder,"LaunchKey, Inc."
187,7040910,12433538.0,2018.0,"Co-founder, Director of R&D","Alamar Biosciences, Inc."
188,7058527,12498799.0,2016.0,Cofounder and CEO,"Harmonic Bionics, Inc."
189,7060260,88450340.0,2022.0,"Founder, President & CEO",CLERTRUST
190,7113316,9255578.0,1999.0,Co-Founder,Ad4ever
191,7121571,6329340.0,1998.0,"EVP Products & Services, Chairman & Co-Founder",Epicentric
192,7172043,3402750.0,2002.0,"Co-Founder, Board of Director, CTO & VP of Engineering","Grandis, Inc. (acquired by Samsung in 2011)"
193,7180741,22681179.0,2018.0,Co-Founder and CFO,"Chatmost, Inc."
194,7234144,10890487.0,2016.0,Co-Founder | Director of Design,AthenaHacks
195,7301840,595010.0,2008.0,Founder and Chairman of the Board,"VanDyne SuperTurbo, Inc."
196,7321754,33529815.0,2013.0,Founder,EAST TENNESSEE CHINESE CULTURE CENTER
197,7330700,2905788.0,1991.0,"Co-founder, Vice President",Talia Technology
198,7346607,30809387.0,2020.0,Founder & Master Trainer,Innovation Leadership Institute
199,7372845,24640009.0,2019.0,Chief Executive Officer/Founder,Nulixir Inc
200,7377785,6793168.0,2014.0,Co-Founder & CEO,Design Rails
201,7449963,83233705.0,2017.0,Co-Founder,Mitech Global Inc.
202,7463571,3950653.0,2011.0,Founder and CEO,Sirenas
203,7464847,6506133.0,2009.0,"Co-founder, Developer and Data Mining Architect",Kikini
204,7606653,8609334.0,2016.0,Chief Roboticist / Co-Founder,"American Robotics, Inc."
205,7708151,6007693.0,1993.0,"Founder, President, and CEO","OPOTEK, Inc."
206,7792251,8287834.0,2004.0,"COO, Co-Founder",Lumiport
207,7820761,6180026.0,2014.0,Chief Operations Officer I Co-Founder,Essentium Materials LLC
208,7833233,8683559.0,2008.0,Founder & Chief Operating Officer,Adaptive Semantics Inc.
209,7839957,2715139.0,2014.0,Co Founder,The Business Clinique
210,7912781,89019289.0,2022.0,Co-Founder,Knowledge Based Design
211,7913742,3377950.0,1993.0,SVP Technology Strategy and Co-Founder,GlobalView Software Inc.
212,7914827,4426550.0,2011.0,Founder and CEO,Solid Logic Technology Inc.
213,7914985,5486762.0,2008.0,Founder/Business Strategy,Monkey Syndicate
214,7920773,3010571.0,2013.0,Co-Founder and Lead Mechanical Engineer,Unbounded Robotics
215,7926283,27363788.0,2019.0,iOS Developer/Designer/Founder,Smart Spend
216,7935135,9298031.0,2013.0,Board Member & Co-Founder,Apeiron Data Systems
217,7992481,4802351.0,1986.0,"Founder, CEO and President",Network General
218,7997637,541792.0,2011.0,Founder & CTO,Viderics Inc.
219,7998122,57048939.0,2020.0,Founder and President,Chewie Labs
220,8050769,8900370.0,1997.0,Founder and Director,Austin Museum of Digital Art
221,8059073,7866139.0,2015.0,Co-founder & CEO,PreDiCa Inc.
222,8108013,26257142.0,2019.0,Co-Founder | Board Director,Solos Technology Limited
223,8157895,5233196.0,2012.0,CSO and Cofounder,Mapsaurus
224,8168841,3620604.0,2014.0,Co-Founder,Interscan Medical Inc.
225,8187106,8633772.0,2011.0,Co-Founder & President,"Anki, Inc."
226,8242549,1766777.0,2010.0,"CEO, Founder",Culture Foundry
227,8275089,32796395.0,2020.0,Co-Founder,SecureVia
228,8278715,22898727.0,2017.0,Co-Founder and Head of Technology and Corporate Strategy,Ring Therapeutics
229,8312942,8327594.0,2019.0,Chairman & Founder,LightPointe
230,8345288,6908878.0,2014.0,Co-founder & CEO,Dynassent
231,8351865,4786885.0,2000.0,"Executive Director, Founder, and Instructor",Northwest Environmental Training Center
232,8411797,9368130.0,2013.0,CEO & Co-founder,Folloze - The ABM Content Platform
233,8418286,3088086.0,2014.0,Co-Founder,Yuzu Labs
234,8423008,8996466.0,2007.0,Co-Founder (Former Chief Operating Officer and Director),"Adimab, LLC"
235,8475047,7780888.0,2008.0,Co-Founder and CSO,Piercell bio
236,8495408,2622414.0,2003.0,"VP, Biz Dev./Founder",Takumi Technology Corp
237,8553266,10683912.0,2013.0,Cofounder,Acceptto Corporation
238,8555775,2919316.0,2015.0,Founder,Tennibot
239,8571175,25272997.0,2019.0,CEO & Co-founder,Moxi
240,8598013,29281718.0,2017.0,Co-Founder,TRUWILD
241,8598686,11423595.0,2017.0,Co-Founder & CTO,"Aeva Labs, Inc."
242,8599475,21072455.0,2019.0,Co-Founder,Emerald Innovations
243,8602257,22978446.0,2018.0,Co-Founder & CEO,The Rotation
244,8625656,1867645.0,2011.0,Co-Founder and CTO,CBuy
245,8751682,1907373.0,2015.0,Co-Founder & Chief Science Officer,Compass Therapeutics Inc.
246,8770355,11838741.0,2018.0,Co-Founder,InternationalCryptoX
247,8785843,2990843.0,2016.0,Founder and CEO,Ujama Inc.
248,8817396,6872540.0,2013.0,Founder,DUO Kitchenware
249,8818893,9512426.0,2015.0,Founder & CTO,FlawCheck
250,8828495,27627209.0,2015.0,Founder,Perspect
251,8872110,1248270.0,2014.0,Founder and CEO,"Paubox, Inc."
252,8941453,5029275.0,2002.0,Co-Founder & CEO,MessageOne
253,8941681,28873537.0,2019.0,Founder,Svatantra Innovation LLC
254,8942242,2881580.0,2008.0,Co-Founder & Chief Technology Officer,"Tripware by Remotian Systems, Inc"
255,8951523,6862451.0,2013.0,Co-Founder,Double Double
256,8952691,3957050.0,2010.0,Founder,SwoopTalent
257,8975789,2572635.0,2003.0,Founder,That Software Guy
258,8984128,3650409.0,2014.0,Founder - IoT Consulting Company,Inspiration Industry Ltd.
259,8984830,10807253.0,1999.0,Consultant / Co-founder,Matchcraft Inc.
260,8985699,1453287.0,2010.0,Vice President and Founder,"C&E Research, Inc."
261,8987158,5379932.0,1993.0,"Founder, CEO",MyITpros
262,8988778,3794861.0,2005.0,"Co-Founder, SVP Research and Development",Intelect Medical
263,8989568,3778853.0,1983.0,"Founder, CEO (As Viewer's Choice)",iN DEMAND
264,8990349,4253667.0,2006.0,"Founder, President/CEO",Sage Electronic Engineering
265,8990988,9262997.0,1997.0,"Founder, CEO",Asimba
266,8993404,4667320.0,2007.0,"Founder, VP of Engineering",Scale Computing
267,8993629,90065037.0,2023.0,"Founder, Chief Executive, President",BlueOcean Global Corporation
268,9024040,1392434.0,2014.0,CEO & Co-Founder,Cricking
269,9037675,9995267.0,1996.0,Founder/CEO,Solix Technologies
270,9071031,69913.0,2013.0,Co-Founder & Chief Explorer,Blue Marble Exploration
271,9075022,10036362.0,2015.0,Founder,"Scott Mulcay, Inc"
272,9113264,27171748.0,2020.0,"Chief Technology Officer, Co-founder",MetaMedia
273,9164464,20176140.0,2009.0,"CEO, co-founder, Board Director","Mobisante, Inc."
274,9179790,5341155.0,2013.0,Co Founder,"Mavin, Inc."
275,9188546,1904162.0,2002.0,Founder and Staff Scientist,Catalyst Biosciences (NASDAQ: CBIO)
276,9218584,2441703.0,2007.0,Founder & Chief Architect,Tikatok
277,9260239,11877263.0,2017.0,Founder & CEO,LookingForSolutions.com LLC
278,9280436,4822458.0,2010.0,CEO / Co-founder,"NoiseToys, Inc."
279,9387764,10686685.0,2015.0,Co-founder/co-CEO,PriVapp
280,9488430,6075588.0,2014.0,"Chief Executive Officer, Founder",OtoSense Inc.
281,9510143,4755570.0,2013.0,"Co-Founder, Chief Product Officer",Nima
282,9510651,8375995.0,2011.0,Co-Founder & Chief Operating Officer - Wearable Technology & Intelligent Apparel,L.I.F.E. Corporation S.A.
283,9513146,3590415.0,2010.0,Co-Founder and Chief Medical Officer,"ImaCor, Inc"
284,9513683,7463733.0,2008.0,Founder & CEO,Rooster Park Consulting
285,9514786,11839294.0,2018.0,COO & Co-Founder,Carium
286,9515125,11877247.0,2017.0,Co-Founder / Co-Owner,Home Again Home Watch Services
287,9516848,12100550.0,2019.0,COO / CTO - Co-Founder,RealtyMotor
288,9525346,12871310.0,2019.0,Partner & Co-Founder,Forge Studio
289,9536333,4021181.0,2009.0,Designer + Founder,Studio SMT
290,9620210,19347074.0,2005.0,"Founder, President & CEO",RND Automation
291,9621120,1344685.0,2008.0,Founder | Member,"Ximii, LLC"
292,9628030,11745118.0,2006.0,"Founder & Director, Operating Board",Tsai Center for Innovative Thinking at Yale (Tsai CITY)
293,9631742,1810752.0,2006.0,"CEO, Founder & Chairman",CellTrust Corporation
294,9635308,10714557.0,2016.0,Co-Founder,AutoVir
295,9636060,9803882.0,2015.0,CEO & Founder,Toulon Design
296,9658939,4337071.0,2009.0,Co-Founder,Sky Balloon
297,9711023,12524326.0,2018.0,Founder,Robotic Sorting Solutions
298,9777632,8827298.0,2013.0,Chief Architect & Founder,"AtScale, Inc."
299,9807523,11097923.0,2004.0,"Co-Founder,  President & COO",Txtbuzz
300,9811922,56901998.0,2020.0,Founder,Convect
301,9812773,20343424.0,2017.0,CTO & Co-founder,Babblabs
302,9813276,3500752.0,2014.0,"Co-Founder - SVP, Strategy and Operations",GeistM
303,9867234,5166933.0,2011.0,Founder,"MyECInfo, Inc."
304,9893582,4117954.0,2003.0,"Co-founder, CTO",Sydus Pte Ltd
305,9912468,21828704.0,2016.0,"Founder, R&D Director",OmniSensing Photonics
306,9918123,9956315.0,2001.0,Co-founder,GSphere (precursor of Xfire)
307,9922320,12526257.0,2006.0,Founder,Technical Garden
308,9929056,11969531.0,2018.0,Co-Founder & Chief Creative Officer,Shadow Ninjaz
309,9932511,9317836.0,2008.0,"Co-Founder, Chief Operating Officer and Treasurer",FLEx
310,9933547,8361023.0,2008.0,"Co-Founder, Chief Security Officer",Black Lotus Communications
311,9957219,12107559.0,2016.0,Co-Founder and consultant,Entrada Therapeutics
312,9996070,20401843.0,2014.0,"Game Developer, Founder",Sombr Studio
313,10003687,7131594.0,2010.0,"Founder, Head Robot",Robot Workshop - Real Estate Technology
314,10021697,22598986.0,2003.0,Co-Founder and Chief Technologist,"Codetelligence, Inc."
315,10040142,3328064.0,2010.0,CEO/Founder,Greenbean recycle (Acquired by Tomra Systems ASA)
316,10089961,12917546.0,2016.0,Manager and Founder,"Masa Capital, LLC"
317,10124065,24402837.0,2019.0,Chief Technology Officer & Co-founder,ArchiFiction
318,10202138,1991306.0,2003.0,Chief Software Architect and Founder Incubator Project Sequoia,Cadence Design Systems
319,10252511,4291831.0,2004.0,Founder and Chief Architect,SCULPTORLABS
320,10276434,544415.0,1995.0,"Co-Founder, President","Vineyard.NET, Inc."
321,10307087,19930168.0,2015.0,Co-Founder,"Sujjest, LLC"
322,10311204,7282995.0,2016.0,CoFounder and Technical Adviser,ROBOCOPP
323,10326318,5886442.0,2005.0,Founder - CTO,Wiser Solutions
324,10371931,9614320.0,1999.0,"Founder, CTO and head of R&D, board member",Force10 Networks
325,10407682,1971886.0,2014.0,Co Founder,Cover Media Labs
326,10429798,12091425.0,2017.0,Co-Founder,Atolla Skin Lab
327,11297488,30273783.0,2021.0,Co-founder and CPO,Out of the Blue
328,11375252,8707158.0,2010.0,President & Founder,Alpha Muse Inc.
329,11666298,532335.0,2015.0,Co-Founder,BanyanOps
330,11679358,83500179.0,2021.0,Co-Founder,InvestInData
331,11713381,8734774.0,2010.0,Founder & Executive Director,Amana Academy Charter School
332,11769088,9654708.0,2013.0,Cofounder & Director of Product,Flyvision
333,11791902,20456638.0,2019.0,Co-Founder,arena ai
334,11820224,2987177.0,2015.0,Co-founder & Payload Lead,Ursa Space Systems Inc.
335,11827643,23809489.0,1998.0,Co-Founder & COO,Cat Net AG
336,11878076,3690626.0,2003.0,"Founder, VP, CSO","IO Informatics, Inc."
337,11925205,1919823.0,2015.0,Co-Founder,CREXi.com
338,11958784,6920345.0,2013.0,Co-Founder and Chief Technology Officer,Digestomics
339,11960048,5765255.0,2013.0,Co-Founder,"Winter Night Games, LLC"
340,11960384,11686172.0,2011.0,CEO AND Founder,Chairigami
341,12035668,3490720.0,2015.0,Co Founder and CEO (Techstars Boulder 18),Goally
342,12078347,3668602.0,2000.0,CEO and Co-Founder,illunis LLC
343,12093099,10407680.0,2016.0,Co-founder and CTO,"perceptiveIO, Inc"
344,12094536,22877327.0,2015.0,"Co-Founder, CEO",Gravitas Medical
345,12114378,547805.0,2006.0,Co-Founder & COO,"VideoSurf, Inc. (Acquired by Microsoft)"
346,12238075,89136567.0,2022.0,VP Engineering & Co Founder,PlanBData
347,12325159,19970540.0,2019.0,"Co-Founder, Managing Partner",Isabella's Clearly
348,12340749,1766890.0,2014.0,Founder and CEO,Cloudmetrx
349,12373625,3724958.0,2013.0,Founder & CEO,"In-Depth, Inc."
350,12442220,943074.0,2004.0,Co-Founder,Humacyte
351,12449081,1278803.0,2016.0,Co-Founder,PerceptIn
352,12481593,82757146.0,2022.0,Co-Founder & CTO,SliceX AI
353,12522218,7410330.0,2006.0,Founder and CEO,ResumeSponge
354,12557528,153405.0,2002.0,Co-Founder,Bubbles Apparel & Footwear
355,12576629,82760585.0,2021.0,Founder and Investigator,Arc Institute
356,15586137,5983362.0,2015.0,Co-Founder and Chief Creative Officer,OrbSense Technologies LLC
357,15592578,5880823.0,2013.0,Founder & Principal,PG Consulting
358,15650342,26206243.0,2019.0,Chinese Alumni Association‘s Founder and President,School of Visual Arts
359,16136011,11030596.0,2020.0,Co-Founder,Stealth Mode
360,16191928,4984579.0,2011.0,Founder and Chief Technology Officer,"NovaWurks, Inc."
361,16228779,12347216.0,2017.0,CTO & Co-Founder,AlgoFace
362,16256174,88488100.0,2021.0,Co-Founder,NeuraWorx
363,16257753,130567.0,2000.0,Co-founder and Director of Array Technology,BioTrove Inc.
364,16258529,12023291.0,2017.0,Co-Founder & CTO,NAPGEAR
365,16290886,5422499.0,2010.0,President & Co-Founder,MobileDx
366,16324465,29475693.0,2020.0,Co-Founder,GoodFinch
